"nodeType","testName","category","metric","value","timestamp"
"client","S1","latency","read",5314,"1684045089987"
"client","S1","latency","read",4948,"1684045089992"
"client","S1","latency","read",3340,"1684045089996"
"client","S1","latency","read",3228,"1684045089999"
"client","S1","latency","read",4190,"1684045090007"
"client","S1","latency","read",3508,"1684045090010"
"client","S1","latency","read",4075,"1684045090023"
"client","S1","latency","read",3405,"1684045090026"
"client","S1","latency","read",3333,"1684045090029"
"client","S1","latency","read",3144,"1684045090032"
"client","S1","latency","read",6012,"1684045090058"
"client","S1","latency","read",3172,"1684045090064"
"client","S1","latency","read",10733,"1684045090081"
"client","S1","latency","read",3670,"1684045090092"
"client","S1","latency","read",6316,"1684045090098"
"client","S1","latency","read",3212,"1684045090101"
"client","S1","latency","read",3065,"1684045090108"
"client","S1","latency","read",2854,"1684045090111"
"client","S1","latency","read",3114,"1684045090118"
"client","S1","latency","read",2982,"1684045090121"
"client","S1","latency","read",2957,"1684045090136"
"client","S1","latency","read",2923,"1684045090139"
"client","S1","latency","read",3413,"1684045090143"
"client","S1","latency","read",3116,"1684045090166"
"client","S1","latency","read",2992,"1684045090177"
"client","S1","latency","read",3074,"1684045090180"
"client","S1","latency","read",3038,"1684045090186"
"client","S1","latency","read",9656,"1684045090196"
"client","S1","latency","read",4683,"1684045090201"
"client","S1","latency","read",3318,"1684045090210"
"client","S1","latency","read",3207,"1684045090213"
"client","S1","latency","read",4183,"1684045090220"
"client","S1","latency","read",3172,"1684045090224"
"client","S1","latency","read",3738,"1684045090227"
"client","S1","latency","read",3188,"1684045090231"
"client","S1","latency","read",3055,"1684045090242"
"client","S1","latency","read",4248,"1684045090273"
"client","S1","latency","read",3307,"1684045090277"
"client","S1","latency","read",5481,"1684045090282"
"client","S1","latency","read",3285,"1684045090285"
"client","S1","latency","read",3119,"1684045090295"
"client","S1","latency","read",4167,"1684045090305"
"client","S1","latency","read",4797,"1684045090319"
"client","S1","latency","read",3802,"1684045090323"
"client","S1","latency","read",3289,"1684045090326"
"client","S1","latency","read",3097,"1684045090333"
"client","S1","latency","read",3163,"1684045090340"
"client","S1","latency","read",4655,"1684045090348"
"client","S1","latency","read",2909,"1684045090354"
"client","S1","latency","read",3066,"1684045090358"
"client","S1","latency","read",2994,"1684045090361"
"client","S1","latency","read",8472,"1684045090369"
"client","S1","latency","read",3223,"1684045090376"
"client","S1","latency","read",5194,"1684045090381"
"client","S1","latency","read",3070,"1684045090384"
"client","S1","latency","read",3754,"1684045090392"
"client","S1","latency","read",3062,"1684045090395"
"client","S1","latency","read",3600,"1684045090399"
"client","S1","latency","read",2994,"1684045090402"
"client","S1","latency","read",4163,"1684045090409"
"client","S1","latency","read",3062,"1684045090412"
"client","S1","latency","read",2950,"1684045090415"
"client","S1","latency","read",2909,"1684045090421"
"client","S1","latency","read",5316,"1684045090426"
"client","S1","latency","read",2997,"1684045090432"
"client","S1","latency","read",2729,"1684045090441"
"client","S1","latency","read",3430,"1684045090448"
"client","S1","latency","read",3119,"1684045090451"
"client","S1","latency","read",4040,"1684045090455"
"client","S1","latency","read",3338,"1684045090458"
"client","S1","latency","read",4026,"1684045090462"
"client","S1","latency","read",5063,"1684045090467"
"client","S1","latency","read",6515,"1684045090477"
"client","S1","latency","read",4456,"1684045090481"
"client","S1","latency","read",3202,"1684045090501"
"client","S1","latency","read",5431,"1684045090507"
"client","S1","latency","read",2916,"1684045090516"
"client","S1","latency","read",3899,"1684045090526"
"client","S1","latency","read",3069,"1684045090529"
"client","S1","latency","read",2837,"1684045090532"
"client","S1","latency","read",2934,"1684045090535"
"client","S1","latency","read",3069,"1684045090545"
"client","S1","latency","read",2824,"1684045090551"
"client","S1","latency","read",3626,"1684045090555"
"client","S1","latency","read",3175,"1684045090558"
"client","S1","latency","read",2795,"1684045090561"
"client","S1","latency","read",2918,"1684045090574"
"client","S1","latency","read",6145,"1684045090583"
"client","S1","latency","read",2931,"1684045090589"
"client","S1","latency","read",2944,"1684045090599"
"client","S1","latency","read",2811,"1684045090615"
