"nodeType","testGroup","testName","clusterType","consensusAlg","category","metric","value","timestamp"
"store","W7","T3","consensus","bizur","cpu","process.cpu.usage",0.01,1712506831
"store","W7","T3","consensus","bizur","cpu","process.cpu.usage",0.01,1712506833
"store","W7","T3","consensus","bizur","cpu","process.cpu.usage",0.03,1712506835
"store","W7","T3","consensus","bizur","cpu","process.cpu.usage",0.02,1712506837
"store","W7","T3","consensus","bizur","cpu","process.cpu.usage",0.01,1712506839
"store","W7","T3","consensus","bizur","cpu","process.cpu.usage",0.02,1712506841
"store","W7","T3","consensus","bizur","cpu","process.cpu.usage",0.01,1712506843
"store","W7","T3","consensus","bizur","cpu","process.cpu.usage",0.01,1712506845
"store","W7","T3","consensus","bizur","cpu","process.cpu.usage",0.01,1712506847
"store","W7","T3","consensus","bizur","cpu","process.cpu.usage",0.01,1712506849
"store","W7","T3","consensus","bizur","cpu","process.cpu.usage",0.01,1712506851
"store","W7","T3","consensus","bizur","cpu","process.cpu.usage",0.06,1712506853
"store","W7","T3","consensus","bizur","cpu","process.cpu.usage",0.94,1712506855
"store","W7","T3","consensus","bizur","cpu","process.cpu.usage",0.98,1712506857
"store","W7","T3","consensus","bizur","cpu","process.cpu.usage",0.59,1712506859
"store","W7","T3","consensus","bizur","cpu","process.cpu.usage",0.39,1712506861
"store","W7","T3","consensus","bizur","cpu","process.cpu.usage",0.28,1712506863
"store","W7","T3","consensus","bizur","cpu","process.cpu.usage",0.32,1712506865
"store","W7","T3","consensus","bizur","cpu","process.cpu.usage",0.31,1712506867
"store","W7","T3","consensus","bizur","cpu","process.cpu.usage",0.33,1712506869
"store","W7","T3","consensus","bizur","cpu","process.cpu.usage",0.24,1712506871
"store","W7","T3","consensus","bizur","cpu","process.cpu.usage",0.23,1712506873
"store","W7","T3","consensus","bizur","cpu","process.cpu.usage",0.26,1712506875
"store","W7","T3","consensus","bizur","cpu","process.cpu.usage",0.25,1712506877
"store","W7","T3","consensus","bizur","cpu","process.cpu.usage",0.27,1712506879
"store","W7","T3","consensus","bizur","cpu","process.cpu.usage",0.3,1712506881
"store","W7","T3","consensus","bizur","cpu","process.cpu.usage",0.31,1712506883
"store","W7","T3","consensus","bizur","cpu","process.cpu.usage",0.26,1712506885
