"nodeType","testGroup","testName","clusterType","consensusAlg","category","metric","value","timestamp"
"store","W7","T1","consensus","raft","memory","insights.store.sizeOf.total",418204,1712506489
"store","W7","T1","consensus","raft","memory","insights.store.sizeOf.total",418204,1712506491
"store","W7","T2","consensus","bizur","memory","jvm.memory.used",17110392,1712506598
"store","W7","T2","consensus","bizur","memory","jvm.memory.used",18601560,1712506600
"store","W7","T2","consensus","bizur","memory","jvm.memory.used",19537584,1712506602
"store","W7","T2","consensus","bizur","memory","jvm.memory.used",20184584,1712506604
"store","W7","T2","consensus","bizur","memory","jvm.memory.used",20731640,1712506606
"store","W7","T2","consensus","bizur","memory","jvm.memory.used",21387528,1712506608
"store","W7","T2","consensus","bizur","memory","jvm.memory.used",21965488,1712506610
"store","W7","T2","consensus","bizur","memory","jvm.memory.used",22534720,1712506612
"store","W7","T2","consensus","bizur","memory","jvm.memory.used",23032200,1712506615
"store","W7","T2","consensus","bizur","memory","jvm.memory.used",23579880,1712506617
"store","W7","T2","consensus","bizur","memory","jvm.memory.used",19811648,1712506619
"store","W7","T2","consensus","bizur","memory","jvm.memory.used",20281272,1712506621
"store","W7","T2","consensus","bizur","memory","jvm.memory.used",20833512,1712506623
"store","W7","T2","consensus","bizur","memory","jvm.memory.used",21298744,1712506625
"store","W7","T2","consensus","bizur","memory","jvm.memory.used",21846688,1712506627
"store","W7","T2","consensus","bizur","memory","jvm.memory.used",22345632,1712506629
"store","W7","T2","consensus","bizur","memory","jvm.memory.used",22911856,1712506631
"store","W7","T2","consensus","bizur","memory","jvm.memory.used",23403728,1712506633
"store","W7","T2","consensus","bizur","memory","jvm.memory.used",23868936,1712506635
"store","W7","T2","consensus","bizur","memory","jvm.memory.used",22989376,1712506637
"store","W7","T2","consensus","bizur","memory","jvm.memory.used",23824280,1712506639
"store","W7","T2","consensus","bizur","memory","jvm.memory.used",25237664,1712506641
"store","W7","T2","consensus","bizur","memory","jvm.memory.used",29840008,1712506643
"store","W7","T2","consensus","bizur","memory","jvm.memory.used",31122080,1712506645
"store","W7","T2","consensus","bizur","memory","jvm.memory.used",33970184,1712506647
"store","W7","T2","consensus","bizur","memory","jvm.memory.used",30664944,1712506649
"store","W7","T2","consensus","bizur","memory","jvm.memory.used",31886088,1712506651
"store","W7","T2","consensus","bizur","memory","jvm.memory.used",30907376,1712506653
"store","W7","T2","consensus","bizur","memory","jvm.memory.used",31521632,1712506655
"store","W7","T2","consensus","bizur","memory","jvm.memory.used",28908000,1712506657
"store","W7","T2","consensus","bizur","memory","jvm.memory.used",32290760,1712506659
